Name,Kategorien,Adresse,Kontaktinformationen,Öffnungszeiten,Website URL,Beschreibung,Image Source URLs
Speedhair,"Friseur, Gesundheit und Kosmetik","Obertorstraße 1, 66111 Saarbrücken",+49 15111411061,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:30 - 18:00"", ""Mittwoch"": ""09:30 - 18:00"", ""Donnerstag"": ""09:30 - 18:00"", ""Freitag"": ""09:30 - 18:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",http://www.cuttingcrew-cutncolor.de,null,null
Fabian Schmidt Clothing,"Änderungsschneiderei, Bekleidung/Accessoires, Damenmode, Herrenmode","Nauwieserstraße 36, 66111 Saarbrücken",+49 1520 4947076,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""11:00 - 18:00"", ""Mittwoch"": ""11:00 - 15:00"", ""Donnerstag"": ""11:00 - 18:00"", ""Freitag"": ""12:00 - 18:00"", ""Samstag"": ""12:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",https://www.fabianschmidt.clothing,"Fabian Schmidt, ein Luxus-Design-Label, bietet avantgardistische, nachhaltige, ausdrucksstarke, minimalistische, gemütliche, faire, einzigartige und alltagstaugliche Unisex-Mode. Merkmale sind die besonders bequeme Passform und die außergewöhnlichen Schnitte. Die Zielgruppen sind selbstbewusste, starke Frauen und Männer, die sich aus den Zwängen der heutigen Gesellschaft befreien wollen. Leistungen bestehen aus/ was man im Geschäft finde: Maßanfertigungen,  Änderungen, Corporate Design, Drapagen, Parfum & Design-Unisexkleidung","https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93354_x_y_55a86a_04.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93353_x_y_728adc_04.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2022/04/93352_x_y_efb2bb_04.jpg"
La Maison Saarbrücken,"Heimtextil, Lampen & Leuchten, Möbel & Haushaltswaren, Sonstiges, Teppiche, Wohnen & Einrichten","St. Johanner Markt 39, 66111 Saarbrücken",+49 681 33340,"{""Montag"": ""10:00 - 19:00"", ""Dienstag"": ""10:00 - 19:00"", ""Mittwoch"": ""10:00 - 19:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.lamaison-sb.de,null,null
Blumen & Wohnen Zimmer,"Fairtrade, Lampen & Leuchten, Lebensmittel, Möbel & Haushaltswaren, Wohnen & Einrichten","Gerberstraße 3, 66111 Saarbrücken",+49 681 8308730,"{""Montag"": ""10:00 - 18:00"", ""Dienstag"": ""10:00 - 18:00"", ""Mittwoch"": ""10:00 - 18:00"", ""Donnerstag"": ""10:00 - 18:00"", ""Freitag"": ""10:00 - 18:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.wohnen-zimmer.de,Blumen & Wohnen Zimmer bietet einen Online Shop.,null
Raueiser Buchhandlung,"Bücher, Musik, Filme, Fachbücher, Sachbücher, Schulbücher","St. Johanner Markt 26, 66111 Saarbrücken",+49 681 379180,"{""Montag"": ""08:30 - 19:00"", ""Dienstag"": ""08:30 - 19:00"", ""Mittwoch"": ""08:30 - 19:00"", ""Donnerstag"": ""08:30 - 19:00"", ""Freitag"": ""08:30 - 19:00"", ""Samstag"": ""09:30 - 17:00"", ""Sonntag"": ""Geschlossen""}",http://www.raueiser.de,Raueiser Buchhandlung bietet einen Online-Shop an.,null
haar.verliebt Friseure,"Friseur, Gesundheit und Kosmetik","Mainzer Straße 33, 66111 Saarbrücken",+49 151 59080404,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://www.instagram.com/haar.verliebt_friseure,null,null
Grace BIJOUTERIE,Schmuck/Uhren,"Bahnhofstraße 9, 66111 Saarbrücken",+49 681 68642857,"{""Montag"": ""10:30 - 19:00"", ""Dienstag"": ""10:30 - 19:00"", ""Mittwoch"": ""10:30 - 19:00"", ""Donnerstag"": ""10:30 - 19:00"", ""Freitag"": ""10:30 - 19:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.gracetheconceptstore.com,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2021/09/87823_x_y_bb9d3f_09.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2021/08/87249_x_y_c7489f_08.jpg"
Friseur Salon Edessa,"Friseur, Gesundheit und Kosmetik","Dudweilerstraße 12, 66111 Saarbrücken",+49 681 30394025,"{""Montag"": ""09:00 - 20:00"", ""Dienstag"": ""09:00 - 20:00"", ""Mittwoch"": ""09:00 - 20:00"", ""Donnerstag"": ""09:00 - 20:00"", ""Freitag"": ""09:00 - 20:00"", ""Samstag"": ""09:00 - 20:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Haarhaus Dirk Lange,"Friseur, Gesundheit und Kosmetik","Saarstraße 7, 66111 Saarbrücken",+49 681 31724,"{""Montag"": ""09:00 - 18:00"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 19:00"", ""Freitag"": ""09:00 - 19:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",http://www.dirklange.de,"Haarhaus Dirk Lange haben es sich zum Ziel gemacht, Sie durch erstklassige Schnitte, innovative Colorationen und creative Stylingideen zu begeistern. Hier werden die neuesten Frisuren-Trends immer genau auf Ihre Persönlichkeit zugeschnitten - typgerechte schöne Haare.",https://einkaufen.saarbruecken.de/cache/media/attachments/2014/07/23504_x_y_befcb8_07.jpg
Haarhaus Hansed,"Friseur, Gesundheit und Kosmetik","Cecilienstraße 13, 66111 Saarbrücken",+49 681 59898,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 17:00"", ""Mittwoch"": ""09:00 - 17:00"", ""Donnerstag"": ""09:00 - 17:00"", ""Freitag"": ""09:00 - 17:00"", ""Samstag"": ""08:30 - 13:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Toni & Guy,"Friseur, Gesundheit und Kosmetik","Bahnhofstraße 101, 66111 Saarbrücken",+49 681 9381880,"{""Montag"": ""09:00 - 19:00"", ""Dienstag"": ""09:00 - 19:00"", ""Mittwoch"": ""09:00 - 19:00"", ""Donnerstag"": ""09:00 - 19:00"", ""Freitag"": ""09:00 - 19:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Essanelle,"Friseur, Gesundheit und Kosmetik, Pflege","Trierer Strasse 1, 66111 Saarbrücken",+49 681 75590182,"{""Montag"": ""09:30 - 20:00"", ""Dienstag"": ""09:30 - 20:00"", ""Mittwoch"": ""09:30 - 20:00"", ""Donnerstag"": ""09:30 - 20:00"", ""Freitag"": ""09:30 - 20:00"", ""Samstag"": ""09:30 - 20:00"", ""Sonntag"": ""Geschlossen""}",http://www.essanelle.de,"Wir sind stolz auf unsere Tradition, Geschichte und das Handwerk unserer über 1.600. Mitarbeiter aus 45 unterschiedlichen Nationen und unsere höchste Priorität ist es, unseren Gästen immer eine persönliche Beratung zu bieten, mit einem auf den Gast abgestimmten Haarschnitt, individuellen Colorationen und einem typgerechten Styling. Unsere Salonteams freuen sich auf Ihren Besuch!",null
Planet Hair,"Friseur, Gesundheit und Kosmetik","Cecilienstraße 4, 66111 Saarbrücken", +49 681 30788,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""10:00 - 19:30"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""10:00 - 20:00"", ""Freitag"": ""09:00 - 19:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Trauring Schmiede,"Damenschmuck, Herrenschmuck, Schmuck/Uhren, Trauringe","Bahnhofstraße 6, 66111 Saarbrücken",+49 681 5891363,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""11:00 - 19:00"", ""Mittwoch"": ""11:00 - 19:00"", ""Donnerstag"": ""11:00 - 19:00"", ""Freitag"": ""11:00 - 19:00"", ""Samstag"": ""10:00 - 17:00"", ""Sonntag"": ""Geschlossen""}",http://www.traum-der-ringe.de,"Wir sind Ihr fachlich kompetenter und zuverlässiger Ansprechpartner und bieten Ihnen eine große Auswahl zu erschwinglichen Preisen und in hoher Qualität. Durch langjährige Erfahrung und engen Kundenkontakt wissen wir von ""Traum der Ringe"", worauf es ankommt und haben uns zum Ziel gesetzt, jeden Kundenwunsch zur vollsten Zufriedenheit umzusetzen. Nehmen Sie sich Zeit für Ihren Ring-Kauf. Haben Sie Modelle gefunden, die Ihnen beiden gefallen, überdenken Sie diese Auswahl ein paar Tage. Wenn Sie dann noch genauso begeistert sind, haben Sie die richtige Wahl für Ihren lebenslangen Wegbegleiter getroffen.","https://einkaufen.saarbruecken.de, https://einkaufen.saarbruecken.de/cache/media/attachments/2024/02/109623_x_y_548392_02.jpg"
Apotheke Landmann,"Apotheke, Gesundheit und Kosmetik","Reichsstraße 16, 66111 Saarbrücken",+49 681 32770,"{""Montag"": ""08:00 - 18:30"", ""Dienstag"": ""08:00 - 18:30"", ""Mittwoch"": ""08:00 - 18:30"", ""Donnerstag"": ""08:00 - 18:30"", ""Freitag"": ""08:00 - 18:30"", ""Samstag"": ""09:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",https://www.apothekelandmannsb.de/,null,null
Apollo Optik,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Reichsstraße 6, 66111 Saarbrücken",+49 681 9386772,"{""Montag"": ""09:00 - 18:00"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 18:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""09:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",https://filialen.apollo.de/saarland/saarbruecken/reichsstr--6.html,null,null
Pink Dein Deko-Paradies,"Basteln, Malen, Geschenkartikel, Haushalt & Garten, Heimtextil, Lampen & Leuchten, Möbel & Haushaltswaren, Sonstiges, Spielwaren, Wohnen & Einrichten","Triererstraße 16-20, 66111 Saarbrücken",+49 0681 94878099,"{""Montag"": ""09:30 - 19:30"", ""Dienstag"": ""09:30 - 19:30"", ""Mittwoch"": ""09:30 - 19:30"", ""Donnerstag"": ""09:30 - 19:30"", ""Freitag"": ""09:30 - 19:30"", ""Samstag"": ""09:30 - 19:30"", ""Sonntag"": ""Geschlossen""}",https://pink-deko.de/,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2020/08/79139_x_y_db61da_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2020/08/79148_x_y_a1a2fd_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2020/08/79146_x_y_f23533_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2020/08/79140_x_y_1a2067_08.jpg"
MOS myoptikerschlaucher,"Bekleidung/Accessoires, Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Futterstraße 5-7, 66111 Saarbrücken",+49 681 3905234,"{""Montag"": ""10:00 - 19:00"", ""Dienstag"": ""10:00 - 19:00"", ""Mittwoch"": ""10:00 - 19:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.myoptiker.de,null,null
RIVER nordic design,Möbel & Haushaltswaren,"Rotenhofstraße 1a, 66111 Saarbrücken",+49 681 - 95 81 66 55,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""11:00 - 18:00"", ""Mittwoch"": ""11:00 - 18:00"", ""Donnerstag"": ""11:00 - 18:00"", ""Freitag"": ""11:00 - 18:00"", ""Samstag"": ""11:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",http://www.river-nordicdesign.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/11/107216_x_y_132f39_11.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/11/107215_x_y_ad29df_11.jpg"
Fielmann,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Bahnhofstraße 61-63, 66111 Saarbrücken",+49 681 9388931,"{""Montag"": ""09:00 - 19:00"", ""Dienstag"": ""09:00 - 19:00"", ""Mittwoch"": ""09:00 - 19:00"", ""Donnerstag"": ""09:00 - 19:00"", ""Freitag"": ""09:00 - 19:00"", ""Samstag"": ""09:00 - 19:00"", ""Sonntag"": ""Geschlossen""}",http://www.fielmann.de,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2020/04/76604_x_y_aa4d4b_04.jpg
Bilal Style Vintage,"Friseur, Gesundheit und Kosmetik","Eisenbahnstraße 23, 66117 Saarbrücken",+49 173 8835155,"{""Montag"": ""09:00 - 19:30"", ""Dienstag"": ""09:00 - 19:30"", ""Mittwoch"": ""09:00 - 19:30"", ""Donnerstag"": ""09:00 - 19:30"", ""Freitag"": ""09:00 - 19:30"", ""Samstag"": ""09:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Tanja P. Friseur & Wellness,"Friseur, Gesundheit und Kosmetik","Eisenbahnstraße 39, 66111 Saarbrücken",+49 681 9068553,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 14:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""08:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",null,null,null
Apollo Optik,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Bahnhofstraße 22-24, 66111 Saarbrücken",+49 681 3799408,"{""Montag"": ""10:00 - 19:00"", ""Dienstag"": ""10:00 - 19:00"", ""Mittwoch"": ""10:00 - 19:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",https://filialen.apollo.de/saarland/saarbruecken/bahnhofstr--22-24.html,"Apollo-Optik- Ihr Gleitsicht-Experte: Ob Brille, Gleitsichtbrille oder Kontaktlinsen. Bei Ihrem Apollo-Optiker erhalten Sie fachkundige Beratung.",null
HaarCreativ UG,"Friseur, Gesundheit und Kosmetik","Neumarkt 4, 66117 Saarbrücken",+49 151 70323621,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""10:00 - 18:00"", ""Mittwoch"": ""10:00 - 18:00"", ""Donnerstag"": ""13:00 - 18:00"", ""Freitag"": ""10:00 - 18:00"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://haar-creativ-martina.de,null,null
Fruchteria,"Feinkost, Lebensmittel, Sonstiges, Souvenirartikel, Spirituosen","Nauwieser Straße 39, 66111 Saarbrücken",+49 681 95812521 ,"{""Montag"": ""12:00 - 18:00"", ""Dienstag"": ""12:00 - 18:00"", ""Mittwoch"": ""12:00 - 18:00"", ""Donnerstag"": ""12:00 - 18:00"", ""Freitag"": ""12:00 - 18:00"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",http://www.fruchteria.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2020/02/75587_x_y_7d94ff_02.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2020/02/75583_x_y_cf6247_02.jpg"
GIUSEPPE GENOVESE,"Friseur, Gesundheit und Kosmetik, Make-up, Pflege","Bleichstraße 29, 66111 Saarbrücken",+49 681 93884333,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""09:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",http://www.giuseppe-friseur.de,null,null
Brillenlounge 24,"Brillen, Kontaktlinsen, Optiker, Gesundheit und Kosmetik","Mainzer Straße 73, 66121 Saarbrücken",+49 681 94065248,"{""Montag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Dienstag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Freitag"": ""09:00 - 13:00 und 14:00 - 17:00"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",https://brillenlounge24.store/brillenlounge24-saarbruecken,null,null
Chris Lewis,"Friseur, Gesundheit und Kosmetik, Pflege","Türkenstraße 4, 66111 Saarbrücken",+49 681 3904390,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 18:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""09:00 - 13:00"", ""Sonntag"": ""Geschlossen""}",http://www.chris-lewis.de,null,null
Die Krake,"Friseur, Gesundheit und Kosmetik","Katholisch-Kirch-Straße 12, 66111 Saarbrücken",+49 15110630976,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""10:00 - 18:00"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""11:00 - 20:00"", ""Freitag"": ""10:00 - 18:00"", ""Samstag"": ""10:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",http://www.instagram.com/jutta.eckhardt,null,null
Schatzinsel,"Bekleidung/Accessoires, Schuhe","Nassauerstraße 6, 66111 Saarbrücken",+49 163 7354628,"{""Montag"": ""11:00 - 18:00"", ""Dienstag"": ""11:00 - 18:00"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""11:00 - 18:00"", ""Freitag"": ""11:00 - 18:00"", ""Samstag"": ""12:00 - 16:00"", ""Sonntag"": ""Geschlossen""}",null,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107467_x_y_005fc7_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107469_x_y_5c79ca_12.jpg"
Rebirth Vintagestore,Bekleidung/Accessoires,"Fürstenstraße 3, 66111 Saarbrücken",null,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""12:30 - 19:30"", ""Mittwoch"": ""12:30 - 19:30"", ""Donnerstag"": ""12:30 - 19:30"", ""Freitag"": ""12:30 - 19:30"", ""Samstag"": ""12:30 - 19:30"", ""Sonntag"": ""Geschlossen""}",http://www.rebirthonlineshop.com,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107466_x_y_6f4547_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107464_x_y_2069d2_12.jpg"
Zweigesicht,"Bekleidung/Accessoires, Schmuck/Uhren","Kappenstraße 14, 66111 Saarbrücken",+49 681 38377080,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""11:00 - 18:00"", ""Mittwoch"": ""11:00 - 18:00"", ""Donnerstag"": ""11:00 - 18:00"", ""Freitag"": ""11:00 - 18:00"", ""Samstag"": ""11:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.zweigesicht.com,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107462_x_y_5c3695_12.jpg
Unverpackt Saarbrücken,"Fairtrade, Lebensmittel","Bruchwiesenstraße 6, 66111 Saarbrücken",0681 91047822,"{""Montag"": ""10:00 - 18:30"", ""Dienstag"": ""10:00 - 18:30"", ""Mittwoch"": ""10:00 - 18:30"", ""Donnerstag"": ""10:00 - 18:30"", ""Freitag"": ""10:00 - 18:30"", ""Samstag"": ""09:00 - 15:00"", ""Sonntag"": ""Geschlossen""}",http://www.unverpackt-saarbruecken.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107450_x_y_3823b8_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107451_x_y_639f03_12.jpg"
Grünstreifen- Nachhaltige ökologische Mode,"Bekleidung/Accessoires, Damenmode, Fairtrade, Gesundheit und Kosmetik, Herrenmode, Schmuck/Uhren, Schuhe, Sportausrüstung, Outdoor","Mainzer Straße 41, 66121 Saarbrücken",0681 96870446,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""10:30 – 13:00 & 14:00 – 18:00"", ""Mittwoch"": ""10:30 - 13:00"", ""Donnerstag"": ""10:30 - 13:00"", ""Freitag"": ""10:30 - 13:00"", ""Samstag"": ""10:30 - 17:00"", ""Sonntag"": ""Geschlossen""}",http://www.gruen-streifen.de,"Grünstreifen-Nachhaltige ökologische Mode befindet sich in der Mainzerstraße 41.  Wir bieten Naturtextilien für Frauen, Männer  sowie Produkte mit Vielsinn und Nachhaltigkeit an. Besuchen Sie uns auch bei Facebook unter www.facebook.com/Gruenstreifen.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107449_x_y_e8d34d_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107447_x_y_4c04e9_12.jpg"
Zoe,"Bekleidung/Accessoires, Damenmode, Damenschmuck, Damenschuhe, Düfte, Gesundheit und Kosmetik, Lederwaren, Schmuck/Uhren, Schuhe","Fürstenstraße 1, 66111 Saarbrücken",+49 681 399903,"{""Montag"": ""10:30 - 19:00"", ""Dienstag"": ""10:30 - 19:00"", ""Mittwoch"": ""10:30 - 19:00"", ""Donnerstag"": ""10:30 - 19:00"", ""Freitag"": ""10:30 - 19:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.zoefashion.eu,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2015/03/30778_x_y_c3b50c_03.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2015/03/30781_x_y_045bc9_03.jpg"
TeeGschwendner,"Fairtrade, Lebensmittel, Sonstiges","Bahnhofstraße 101, 66111 Saarbrücken",+49 681 1099454,"{""Montag"": ""09:00 - 18:30"", ""Dienstag"": ""09:00 - 18:30"", ""Mittwoch"": ""09:00 - 18:30"", ""Donnerstag"": ""09:00 - 18:30"", ""Freitag"": ""09:00 - 18:30"", ""Samstag"": ""09:00 - 18:30"", ""Sonntag"": ""Geschlossen""}",http://www.teegschwendner.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107437_x_y_5f5aaf_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107439_x_y_de093e_12.jpg"
Rimoco Gewürzmanufaktur,"Fairtrade, Feinkost, Lebensmittel, Sonstiges","Talstraße 48, 66119 Saarbrücken",+49 681 93583801,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""12:00 - 19:00"", ""Mittwoch"": ""12:00 - 19:00"", ""Donnerstag"": ""12:00 - 19:00"", ""Freitag"": ""12:00 - 19:00"", ""Samstag"": ""10:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",http://www.rimoco.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2022/12/98107_x_y_1e2e1a_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2022/12/98106_x_y_78218c_12.jpg"
Torello,"Dekoration, Kunstwerke, Lebensmittel, Souvenirartikel","Diskontopassage, 66111 Saarbrücken",+49 681 91046724,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""10:00 - 18:00"", ""Mittwoch"": ""10:00 - 18:00"", ""Donnerstag"": ""10:00 - 18:00"", ""Freitag"": ""10:00 - 18:00"", ""Samstag"": ""10:00 - 18:00"", ""Sonntag"": ""Geschlossen""}",http://www.torello.de,null,https://einkaufen.saarbruecken.de/cache/media/attachments/2023/11/107211_x_y_70f4ed_11.jpg
spielbar,"Basteln, Malen, Geschenkartikel, Bücher, Musik, Filme, Fachbücher, Outdoor Spielzeug, Spiele & Puzzle, Spielwaren, Spielzeug","Cecilienstraße 15, 66111 Saarbrücken",+49 681 9100676,"{""Montag"": ""11:00 - 18:00"", ""Dienstag"": ""11:00 - 18:00"", ""Mittwoch"": ""11:00 - 18:00"", ""Donnerstag"": ""11:00 - 18:00"", ""Freitag"": ""11:00 - 18:00"", ""Samstag"": ""11:00 - 15:00"", ""Sonntag"": ""Geschlossen""}",http://www.spielbar-saarbruecken.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2021/05/85314_x_y_a2845c_05.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2021/05/85315_x_y_13d786_05.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2021/05/85316_x_y_9d4368_05.jpg"
Kraus GmbH Internationales Haardesign,"Friseur, Gesundheit und Kosmetik","Kappenstraße 10, 66111 Saarbrücken",+49 681 371181,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""Geschlossen"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""Geschlossen"", ""Samstag"": ""Geschlossen"", ""Sonntag"": ""Geschlossen""}",null,null,null
Coiffeur Noblesse,"Friseur, Gesundheit und Kosmetik, Pflege","Nauwieserstraße 62, 66111 Saarbrücken",+49 681 33199,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""09:00 - 18:00"", ""Mittwoch"": ""09:00 - 18:00"", ""Donnerstag"": ""09:00 - 18:00"", ""Freitag"": ""09:00 - 18:00"", ""Samstag"": ""08:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",https://friseur-noblesse.de,null,null
LUSH Saarbrücken,"Düfte, Gesundheit und Kosmetik, Make-up, Naturkosmetik, Pflege, Wellness","St. Johanner Markt 4, 66111 Saarbrücken",+49 681 30140123,"{""Montag"": ""10:00 - 19:00"", ""Dienstag"": ""10:00 - 19:00"", ""Mittwoch"": ""10:00 - 19:00"", ""Donnerstag"": ""10:00 - 19:00"", ""Freitag"": ""10:00 - 19:00"", ""Samstag"": ""10:00 - 19:00"", ""Sonntag"": ""Geschlossen""}",http://www.lush.com/de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2013/10/93_x_y_a00c9b_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2013/10/96_x_y_8280ac_10.jpg, https://einkaufen.saarbruecken.de"
FCS Shop,Bekleidung/Accessoires,"Katholisch-Kirch-Straße 15, 66111 Saarbrücken",+49 681 8765623,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""12:00 - 18:00"", ""Mittwoch"": ""12:00 - 18:00"", ""Donnerstag"": ""Geschlossen"", ""Freitag"": ""12:00 - 18:00"", ""Samstag"": ""11:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",http://www.fc-saarbruecken.de,null,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107987_x_y_2713e4_12.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/12/107988_x_y_8f7cda_12.jpg"
Die Krake,"Friseur, Gesundheit und Kosmetik","Katholisch-Kirch-Straße 12, 66111 Saarbrücken",+49 15110630976,"{""Montag"": ""Geschlossen"", ""Dienstag"": ""10:00 - 18:00"", ""Mittwoch"": ""Geschlossen"", ""Donnerstag"": ""11:00 - 20:00"", ""Freitag"": ""10:00 - 18:00"", ""Samstag"": ""10:00 - 14:00"", ""Sonntag"": ""Geschlossen""}",http://www.instagram.com/jutta.eckhardt,null,null
